album_popularity,album_id,energy,analysis_url,speechiness,duration,id,title,track_popularity,track_id,acousticness,track_href,artist_id,artist_popularity,danceability,album_release_date,tempo,number,instrumentalness,key,duration_ms,album_name,now_release_date,artist,type,liveness,uri,volume_number,mode,time_signature,loudness,valence
63,2SVSPhDBqChBe10hJh5owv,0.649,https://api.spotify.com/v1/audio-analysis/36pLU2ywVeBKEF0rrKtmCB,0.0307,216,36pLU2ywVeBKEF0rrKtmCB,La La La,61,36pLU2ywVeBKEF0rrKtmCB,0.113,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,1bT7m67vi78r2oqvxrP3X5,71,0.77,2014-05-06,125.096,11.,0,6,222200,Hotel Cabana (Deluxe Version),"May 6, 2014 ",Naughty Boy,audio_features,0.0907,spotify:track:36pLU2ywVeBKEF0rrKtmCB,50,0,4,-5.207,0.279
86,58ufpQsJ1DS5kq4hhzQDiI,0.749,https://api.spotify.com/v1/audio-analysis/3G5iN5QBqMeXx3uZPy8tgB,0.032,228,3G5iN5QBqMeXx3uZPy8tgB,Young Girls,67,3G5iN5QBqMeXx3uZPy8tgB,0.461,https://api.spotify.com/v1/tracks/3G5iN5QBqMeXx3uZPy8tgB,0du5cEVh5yTK9QJze8zA0C,93,0.561,2012-12-07,125.986,12.,1.82e-06,6,228720,Unorthodox Jukebox,"May 6, 2014 ",Bruno Mars,audio_features,0.205,spotify:track:3G5iN5QBqMeXx3uZPy8tgB,50,0,4,-4.951,0.489
82,3RDqXDc1bAETps54MSSOW0,0.655,https://api.spotify.com/v1/audio-analysis/5AnCLGg35ziFOloEnXK4uu,0.0315,276,5AnCLGg35ziFOloEnXK4uu,Adore You,69,5AnCLGg35ziFOloEnXK4uu,0.111,https://api.spotify.com/v1/tracks/5AnCLGg35ziFOloEnXK4uu,5YGY8feqx7naU7z4HrwZM6,80,0.583,2013-10-04,119.759,13.,3.57e-06,0,278747,Bangerz (Deluxe Version),"May 6, 2014 ",Miley Cyrus,audio_features,0.113,spotify:track:5AnCLGg35ziFOloEnXK4uu,50,1,4,-5.407,0.198
81,4OTAx9un4e6NfoHuVRiOrC,0.264,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,0.0322,269,3U4isOIWM3VvDubwSI3y7a,All of Me,79,3U4isOIWM3VvDubwSI3y7a,0.922,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,5y2Xq6xcjJb2jVM54GHK3t,87,0.422,2013-08-30,119.93,14.,0,8,269560,Love In The Future,"May 6, 2014 ",John Legend,audio_features,0.132,spotify:track:3U4isOIWM3VvDubwSI3y7a,50,1,4,-7.064,0.331
72,2sRnJq6dfXdqhIflBk0ve1,0.545,https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I,0.0688,249,6GmUVqe73u5YRfUUynZK6I,Let Her Go,71,6GmUVqe73u5YRfUUynZK6I,0.365,https://api.spotify.com/v1/tracks/6GmUVqe73u5YRfUUynZK6I,0gadJ2b9A4SKsB1RFkBb66,78,0.479,2012-06-29,74.897,15.,0,7,252733,All the Little Lights,"May 6, 2014 ",Passenger,audio_features,0.0963,spotify:track:6GmUVqe73u5YRfUUynZK6I,50,1,4,-7.346,0.239
67,0V4laGZGshNCpurfIdUhHv,0.902,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,0.0347,193,5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,64,5Hroj5K7vLpIG4FNCRIjbP,0.0629,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,0MlOPi3zIDMVrfA9R04Fe3,68,0.673,2014-03-03,100.016,16.,0.000174,2,194240,"Oh, What A Life","May 6, 2014 ",American Authors,audio_features,0.0552,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,50,1,4,-2.378,0.53
52,16nberJCItZ1z6LfgKIdG7,0.514,https://api.spotify.com/v1/audio-analysis/4Yb6G9OWgGBmfOpxcFxp6P,0.0366,229,4Yb6G9OWgGBmfOpxcFxp6P,She Keeps Me Warm,50,4Yb6G9OWgGBmfOpxcFxp6P,0.204,https://api.spotify.com/v1/tracks/4Yb6G9OWgGBmfOpxcFxp6P,5Z2NUZiY3FA00HKu5WTMhA,61,0.568,2013-12-17,144.468,17.,1.17e-05,1,231520,Welcome To The Age Of My Body,"May 6, 2014 ",Mary Lambert,audio_features,0.104,spotify:track:4Yb6G9OWgGBmfOpxcFxp6P,50,1,4,-7.276,0.359
60,7G1441qDQeERZDyMipQPE8,0.864,https://api.spotify.com/v1/audio-analysis/2ldAdghnrO34HPcZ0IWfTu,0.0655,216,2ldAdghnrO34HPcZ0IWfTu,Ten Feet Tall,55,2ldAdghnrO34HPcZ0IWfTu,0.0388,https://api.spotify.com/v1/tracks/2ldAdghnrO34HPcZ0IWfTu,4D75GcNG95ebPtNvoNVXhz,76,0.524,2014-05-16,126.954,18.,0,0,229149,Forget The World (Deluxe),"May 6, 2014 ",Afrojack,audio_features,0.144,spotify:track:2ldAdghnrO34HPcZ0IWfTu,50,1,4,-3.434,0.349
47,55Itl3hDhyFUhXQhdQedHd,0.55,https://api.spotify.com/v1/audio-analysis/46F2qArLwz8WT1qJ2bNRfR,0.0457,220,46F2qArLwz8WT1qJ2bNRfR,Youth - Adventure Club Remix,47,46F2qArLwz8WT1qJ2bNRfR,0.00747,https://api.spotify.com/v1/tracks/46F2qArLwz8WT1qJ2bNRfR,7qRll6DYV06u2VuRPAVqug,63,0.53,2013-09-24,139.98,19.,0.000492,0,239227,Youth (Adventure Club Remix),"May 6, 2014 ",Foxes,audio_features,0.0898,spotify:track:46F2qArLwz8WT1qJ2bNRfR,50,0,4,-6.631,0.21
31,0D5wAbq2sWWgBVgnJp0A9o,0.765,https://api.spotify.com/v1/audio-analysis/4tDsERgz1ARU2PzBBxvmLZ,0.0449,219,4tDsERgz1ARU2PzBBxvmLZ,Big Talk,23,4tDsERgz1ARU2PzBBxvmLZ,0.000492,https://api.spotify.com/v1/tracks/4tDsERgz1ARU2PzBBxvmLZ,4EJu8ygjpi1ewLzrkiFWGX,23,0.614,2016-01-29,105.008,20.,0,8,224987,Conway,"May 6, 2014 ",Conway,audio_features,0.101,spotify:track:4tDsERgz1ARU2PzBBxvmLZ,50,0,4,-5.448,0.87
