album_popularity,album_id,energy,analysis_url,speechiness,id,title,track_popularity,track_id,acousticness,danceability,artist_id,artist_popularity,track_href,album_release_date,tempo,instrumentalness,key,duration_ms,album_name,artist,type,liveness,uri,mode,time_signature,loudness,valence
91,0G1ffjfFuTUTVjDrVdLimH,0.436,https://api.spotify.com/v1/audio-analysis/4YJmZfvlheSziXem8HBWrj,0.176,4YJmZfvlheSziXem8HBWrj,Still Here,72,4YJmZfvlheSziXem8HBWrj,0.0235,0.835,3TVXtAsR1Inumwj472S9r4,100,https://api.spotify.com/v1/tracks/4YJmZfvlheSziXem8HBWrj,2016-05-13,133.942,0,0,189853,Views,Drake,audio_features,0.635,spotify:track:4YJmZfvlheSziXem8HBWrj,1,3,-9.602,0.241
91,0G1ffjfFuTUTVjDrVdLimH,0.62,https://api.spotify.com/v1/audio-analysis/07GilNHSfS5oicUgHgU7VG,0.195,07GilNHSfS5oicUgHgU7VG,Hype,62,07GilNHSfS5oicUgHgU7VG,0.0226,0.79,3TVXtAsR1Inumwj472S9r4,100,https://api.spotify.com/v1/tracks/07GilNHSfS5oicUgHgU7VG,2016-05-13,129.959,0,7,209413,Views,Drake,audio_features,0.365,spotify:track:07GilNHSfS5oicUgHgU7VG,1,4,-8.278,0.258
56,52NImJWUCuV8Vs7PMlsKfg,0.696,https://api.spotify.com/v1/audio-analysis/6EsLX3ZbZbAZUn3iaO5MuX,0.0668,6EsLX3ZbZbAZUn3iaO5MuX,Flexicution,56,6EsLX3ZbZbAZUn3iaO5MuX,0.0608,0.778,4xRYI6VqpkE3UwrDrAZL8L,84,https://api.spotify.com/v1/tracks/6EsLX3ZbZbAZUn3iaO5MuX,2016-06-14,159.924,0.00206,0,219067,Flexicution,Logic,audio_features,0.105,spotify:track:6EsLX3ZbZbAZUn3iaO5MuX,0,4,-6.639,0.709
46,5nWJKfLVsnuJ0MjtJZtjTU,0.659,https://api.spotify.com/v1/audio-analysis/1QCJfrkYyUC59owJ6uLQls,0.0823,1QCJfrkYyUC59owJ6uLQls,Really Really,46,1QCJfrkYyUC59owJ6uLQls,0.0044,0.77,1gPhS1zisyXr5dHTYZyiMe,81,https://api.spotify.com/v1/tracks/1QCJfrkYyUC59owJ6uLQls,2015-10-09,118.805,0,0,232090,Really Really,Kevin Gates,audio_features,0.128,spotify:track:1QCJfrkYyUC59owJ6uLQls,1,4,-6.033,0.253
77,7IOSachS7KZNuqRZrPcdD0,0.893,https://api.spotify.com/v1/audio-analysis/6W9W8dSswA8KNegvl3W97V,0.0375,6W9W8dSswA8KNegvl3W97V,Think of You,67,6W9W8dSswA8KNegvl3W97V,0.000937,0.616,4BYxqVkZyFjtik7crYLg5Q,72,https://api.spotify.com/v1/tracks/6W9W8dSswA8KNegvl3W97V,2015-11-13,111.959,0,11,218947,I'm Comin' Over,Chris Young,audio_features,0.111,spotify:track:6W9W8dSswA8KNegvl3W97V,1,4,-3.588,0.548
91,0G1ffjfFuTUTVjDrVdLimH,0.43,https://api.spotify.com/v1/audio-analysis/2JfeUjJvP1lJkCSne9g0de,0.525,2JfeUjJvP1lJkCSne9g0de,Grammys,61,2JfeUjJvP1lJkCSne9g0de,0.00199,0.676,3TVXtAsR1Inumwj472S9r4,100,https://api.spotify.com/v1/tracks/2JfeUjJvP1lJkCSne9g0de,2016-05-13,145.802,2.46e-06,1,220427,Views,Drake,audio_features,0.08,spotify:track:2JfeUjJvP1lJkCSne9g0de,1,4,-9.533,0.123
62,3oTKl46yD2fsb1dtUYq6Nn,0.616,https://api.spotify.com/v1/audio-analysis/1SSCWNA7xYIN0JKzspbnh4,0.0313,1SSCWNA7xYIN0JKzspbnh4,Try Everything,61,1SSCWNA7xYIN0JKzspbnh4,0.0289,0.705,0EmeFodog0BfCgMzAIvKQp,89,https://api.spotify.com/v1/tracks/1SSCWNA7xYIN0JKzspbnh4,2016-02-12,115.478,0,1,196853,Zootopia (Original Motion Picture Soundtrack),Shakira,audio_features,0.0827,spotify:track:1SSCWNA7xYIN0JKzspbnh4,1,4,-4.88,0.454
73,1xuSorM2dDIiB5zhftB5NY,0.777,https://api.spotify.com/v1/audio-analysis/2nBI3iWLhupR7LyAJ5GGkE,0.0817,2nBI3iWLhupR7LyAJ5GGkE,Champions,73,2nBI3iWLhupR7LyAJ5GGkE,0.0661,0.695,5K4W6rqBFWDnAN6FQUkS6x,94,https://api.spotify.com/v1/tracks/2nBI3iWLhupR7LyAJ5GGkE,2016-06-13,135.01,0,6,334253,Champions,Kanye West,audio_features,0.874,spotify:track:2nBI3iWLhupR7LyAJ5GGkE,0,4,-2.452,0.373
63,37eXSZNVEY3XthbJzTGIIo,0.742,https://api.spotify.com/v1/audio-analysis/1cjiLJacTKtJbdCtMk1XeV,0.0716,1cjiLJacTKtJbdCtMk1XeV,Dark Necessities,63,1cjiLJacTKtJbdCtMk1XeV,0.0722,0.7,0L8ExT028jH3ddEcZwqJJ5,86,https://api.spotify.com/v1/tracks/1cjiLJacTKtJbdCtMk1XeV,2016-05-05,91.959,0.0199,5,302000,Dark Necessities,Red Hot Chili Peppers,audio_features,0.11,spotify:track:1cjiLJacTKtJbdCtMk1XeV,0,4,-6.777,0.21
51,3ecqcdyw5tnFQ5Iqcu84UJ,0.682,https://api.spotify.com/v1/audio-analysis/6VcAvPi9QbnUO42pQy6WVN,0.356,6VcAvPi9QbnUO42pQy6WVN,2 Phones,51,6VcAvPi9QbnUO42pQy6WVN,0.156,0.895,1gPhS1zisyXr5dHTYZyiMe,81,https://api.spotify.com/v1/tracks/6VcAvPi9QbnUO42pQy6WVN,2015-11-06,121.925,0,7,240000,2 Phones,Kevin Gates,audio_features,0.173,spotify:track:6VcAvPi9QbnUO42pQy6WVN,0,4,-5.268,0.549
58,1965uFfUcMO2ITPjJDWsgQ,0.478,https://api.spotify.com/v1/audio-analysis/1qosWrKxri24ZIzH4ZDFcp,0.0272,1qosWrKxri24ZIzH4ZDFcp,Humble And Kind,53,1qosWrKxri24ZIzH4ZDFcp,0.686,0.474,6roFdX1y5BYSbp60OTJWMd,78,https://api.spotify.com/v1/tracks/1qosWrKxri24ZIzH4ZDFcp,2015-11-06,151.397,1.07e-06,11,257347,Damn Country Music (Deluxe Edition),Tim McGraw,audio_features,0.122,spotify:track:1qosWrKxri24ZIzH4ZDFcp,1,3,-7.233,0.15
11,0rxO4VS75MJ17KCP9OTHE4,0.983,https://api.spotify.com/v1/audio-analysis/4YsVcSOhK6syrIhtAXyl9Q,0.187,4YsVcSOhK6syrIhtAXyl9Q,What the World Needs Now Is Love (Chris Cox Radio Mix),11,4YsVcSOhK6syrIhtAXyl9Q,0.13,0.591,6For8X8tvxvDol46ZOQrtr,5,https://api.spotify.com/v1/tracks/4YsVcSOhK6syrIhtAXyl9Q,2016-09-07,131.02,0,6,247328,What the World Needs Now Is Love (Chris Cox Radio Mix),Broadway for Orlando,audio_features,0.107,spotify:track:4YsVcSOhK6syrIhtAXyl9Q,1,4,-0.32,0.583
31,6AwKolft8k4l1usERg2riC,0.883,https://api.spotify.com/v1/audio-analysis/65fBvn1CH4WS8gBnOuH640,0.0338,65fBvn1CH4WS8gBnOuH640,Ain't No Stopping Us Now,31,65fBvn1CH4WS8gBnOuH640,0.000181,0.494,3oSJ7TBVCWMDMiYjXNiCKE,69,https://api.spotify.com/v1/tracks/65fBvn1CH4WS8gBnOuH640,2016-06-17,75.992,0,10,182480,Ain't No Stopping Us Now,Kane Brown,audio_features,0.11,spotify:track:65fBvn1CH4WS8gBnOuH640,1,4,-5.774,0.452
81,2hNdpum500dG6mDXs87nbc,0.806,https://api.spotify.com/v1/audio-analysis/1dI1pt7GNjMI6pbSOd2MD6,0.0483,1dI1pt7GNjMI6pbSOd2MD6,Kiss It Better,64,1dI1pt7GNjMI6pbSOd2MD6,0.272,0.619,5pKCCKE2ajJHZ9KAiaK11H,94,https://api.spotify.com/v1/tracks/1dI1pt7GNjMI6pbSOd2MD6,2016-01-28,95.0,0,3,253080,ANTI,Rihanna,audio_features,0.0671,spotify:track:1dI1pt7GNjMI6pbSOd2MD6,0,4,-4.8,0.873
89,6eZdwrhB97A3EYx9QppGfl,0.433,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,0.185,43PuMrRfbyyuz4QpZ3oAwN,Exchange,78,43PuMrRfbyyuz4QpZ3oAwN,0.108,0.53,2EMAnMvWE2eb56ToJVfCWs,82,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,2015-10-02,160.14,0,6,194613,T R A P S O U L,Bryson Tiller,audio_features,0.135,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,1,4,-10.598,0.272
34,5Y7FwRwPrv0jL9zLBheegF,0.659,https://api.spotify.com/v1/audio-analysis/5l5cQAKkeGIkPBH3ieHYju,0.0307,5l5cQAKkeGIkPBH3ieHYju,Somewhere On A Beach,34,5l5cQAKkeGIkPBH3ieHYju,0.000544,0.569,7x8nK0m0cP2ksQf0mjWdPS,76,https://api.spotify.com/v1/tracks/5l5cQAKkeGIkPBH3ieHYju,2016-01-19,144.029,0,7,199893,Somewhere On A Beach,Dierks Bentley,audio_features,0.0799,spotify:track:5l5cQAKkeGIkPBH3ieHYju,1,4,-6.377,0.441
61,5e8IMTVt3MY6HuuhBmVpF4,0.492,https://api.spotify.com/v1/audio-analysis/0B3LaidsxjnBTUlKgKQQe5,0.03,0B3LaidsxjnBTUlKgKQQe5,Sweatshirt,61,0B3LaidsxjnBTUlKgKQQe5,0.321,0.667,6czdbISBoxGckbBX8F4m8L,66,https://api.spotify.com/v1/tracks/0B3LaidsxjnBTUlKgKQQe5,2016-05-03,95.976,0,8,171250,Sweatshirt,Jacob Sartorius,audio_features,0.0744,spotify:track:0B3LaidsxjnBTUlKgKQQe5,1,4,-8.612,0.807
91,0G1ffjfFuTUTVjDrVdLimH,0.406,https://api.spotify.com/v1/audio-analysis/5PMNu7kMZ4msbxiKnDTOt0,0.266,5PMNu7kMZ4msbxiKnDTOt0,With You,62,5PMNu7kMZ4msbxiKnDTOt0,0.145,0.874,3TVXtAsR1Inumwj472S9r4,100,https://api.spotify.com/v1/tracks/5PMNu7kMZ4msbxiKnDTOt0,2016-05-13,127.978,0.000242,1,195053,Views,Drake,audio_features,0.112,spotify:track:5PMNu7kMZ4msbxiKnDTOt0,1,4,-10.025,0.811
13,1qqwJHUhez843oBaz5et2S,0.563,https://api.spotify.com/v1/audio-analysis/5heM8paxfPJO5rAICyRb7L,0.0708,5heM8paxfPJO5rAICyRb7L,Might Not,13,5heM8paxfPJO5rAICyRb7L,0.283,0.791,0FOWNUFHPnMy0vOw1siGqi,70,https://api.spotify.com/v1/tracks/5heM8paxfPJO5rAICyRb7L,2015-12-18,133.986,0,1,224640,Might Not,Belly,audio_features,0.0799,spotify:track:5heM8paxfPJO5rAICyRb7L,1,4,-4.86,0.264
83,4pvMZr2Kfe1typbTqMHa8z,0.651,https://api.spotify.com/v1/audio-analysis/1brwdYwjltrJo7WHpIvbYt,0.0306,1brwdYwjltrJo7WHpIvbYt,Faded,82,1brwdYwjltrJo7WHpIvbYt,0.0291,0.589,7vk5e3vY1uw9plTHJAMwjN,86,https://api.spotify.com/v1/tracks/1brwdYwjltrJo7WHpIvbYt,2015-12-04,90.011,3.2e-06,6,212627,Faded,Alan Walker,audio_features,0.111,spotify:track:1brwdYwjltrJo7WHpIvbYt,1,4,-5.097,0.161
30,0d0vGVA9SEIQF6dok7hnK0,0.745,https://api.spotify.com/v1/audio-analysis/2Fn3coxd0xAZ09JtrgcgHa,0.0385,2Fn3coxd0xAZ09JtrgcgHa,Middle,30,2Fn3coxd0xAZ09JtrgcgHa,0.0161,0.604,540vIaP2JwjQb9dm3aArA4,89,https://api.spotify.com/v1/tracks/2Fn3coxd0xAZ09JtrgcgHa,2015-10-16,104.941,0,9,220573,Middle,DJ Snake,audio_features,0.0542,spotify:track:2Fn3coxd0xAZ09JtrgcgHa,1,4,-4.103,0.216
10,59oClmNedlPrPkRTQJVilC,0.726,https://api.spotify.com/v1/audio-analysis/69guyOwpeKji5OY8wMdsDI,0.0361,69guyOwpeKji5OY8wMdsDI,My Church,9,69guyOwpeKji5OY8wMdsDI,0.254,0.515,6WY7D3jk8zTrHtmkqqo5GI,67,https://api.spotify.com/v1/tracks/69guyOwpeKji5OY8wMdsDI,2015-11-06,76.981,3.01e-06,9,197947,Maren Morris - EP,Maren Morris,audio_features,0.106,spotify:track:69guyOwpeKji5OY8wMdsDI,1,4,-4.332,0.659
