,track_id,acousticness,album_popularity,artist_popularity,album_release_date,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,now,speechiness,tempo,track_popularity,valence
161,5rmcjZTrE9JR1YrbNZDFNW,0.776,92.0,91.0,2016-12-09,0.513,278920.0,0.197,0.00272,2.0,0.114,-15.167,1.0,0,0.0851,69.82,71.0,0.0505
858,5rxZHy9BW9sgjOQ67Zod7n,0.00388,37.0,69.0,2015-01-06,0.615,280347.0,0.889,0.0,4.0,0.0947,-2.539,1.0,0,0.0371,131.96,37.0,0.641
51,5sjIhQzNljMVrDklI91ezp,0.0158,79.0,77.0,2016-05-20,0.552,189467.0,0.893,0.0,0.0,0.105,-4.593,1.0,0,0.0383,163.948,71.0,0.767
119,5slEM8khwqRaQgvY66nv1x,0.237,55.0,79.0,2016-07-01,0.822,128085.0,0.631,0.0,5.0,0.0922,-8.305,1.0,0,0.0552,77.994,55.0,0.836
961,5t4B1kAlCD13YY9poph0Mg,0.0187,79.0,90.0,2015-11-20,0.733,206880.0,0.745,0.0,10.0,0.0476,-6.605,0.0,1,0.0961,74.986,73.0,0.745
50,5tFep7dXGd7vEJ668wTPux,0.119,83.0,89.0,2016-12-16,0.85,190312.0,0.405,0.000118,7.0,0.0707,-7.509,0.0,0,0.225,139.976,79.0,0.337
918,5tf1VVWniHgryyumXyJM7w,0.0185,81.0,85.0,2015-09-25,0.636,219043.0,0.815,0.0,5.0,0.163,-5.098,0.0,1,0.0581,123.063,77.0,0.629
99,5uDASfU19gDxSjW8cnCaBp,0.0312,83.0,76.0,2016-06-17,0.886,177184.0,0.427,0.00099,6.0,0.0906,-10.028,1.0,0,0.145,108.034,83.0,0.236
779,5uqphUYsR45kPYplrYSAQh,0.0417,82.0,88.0,2015-01-06,0.854,260453.0,0.645,0.000115,6.0,0.103,-8.021,0.0,0,0.141,142.053,65.0,0.57
719,5v7Sazp36VxCp7E0uHzfZM,0.0533,47.0,69.0,2015-05-29,0.577,187920.0,0.84,0.0,1.0,0.317,-4.364,1.0,0,0.0377,90.969,39.0,0.69
19,5wQRNkb7OhzJoT1P0OZ4Rw,0.402,73.0,84.0,2015-04-14,0.66,221333.0,0.378,0.0,0.0,0.0838,-9.728,1.0,0,0.27,90.056,73.0,0.499
430,5ypi3yWrqZg5XDyYcscrc3,0.434,23.0,76.0,2015-09-18,0.586,227427.0,0.399,0.0,2.0,0.119,-9.338,1.0,0,0.0348,165.888,23.0,0.387
565,5zUKLvNNM7HOyDTuYcs1EE,0.00414,52.0,88.0,2015-10-30,0.577,182560.0,0.778,0.0,9.0,0.097,-6.865,1.0,0,0.2,86.849,52.0,0.163
312,61QSuw5VlC0LTS8WMO356g,0.062,74.0,74.0,2016-03-02,0.536,191942.0,0.721,0.0,10.0,0.824,-6.44,0.0,0,0.386,117.139,74.0,0.388
329,61w8YMtwCDzpM84jRvnks6,0.00481,60.0,74.0,2016-07-01,0.769,162227.0,0.705,0.00356,0.0,0.016,-5.797,1.0,0,0.103,160.928,60.0,0.705
222,63FzG2Tj8GyK7pkEBKXZPM,0.853,0.0,5.0,2016-06-07,0.579,225776.0,0.229,0.0,7.0,0.0867,-12.225,0.0,0,0.0539,82.603,0.0,0.337
202,63lHuquEopEUiwPy6VLxlb,0.119,58.0,73.0,2016-07-18,0.567,239704.0,0.565,9.17e-05,9.0,0.368,-7.78,1.0,0,0.0426,133.631,58.0,0.263
357,65fBvn1CH4WS8gBnOuH640,0.000181,31.0,69.0,2016-06-17,0.494,182480.0,0.883,0.0,10.0,0.11,-5.774,1.0,0,0.0338,75.992,31.0,0.452
665,66UVpCZ5aH3VV3Ic3PBUrP,0.121,85.0,98.0,2015-08-28,0.602,253507.0,0.559,0.0,6.0,0.107,-8.277,1.0,0,0.0276,100.021,62.0,0.266
236,66dMATdBD3yBL8RjoGVuxf,0.00163,38.0,86.0,2016-09-08,0.615,181507.0,0.854,0.0,1.0,0.358,-5.478,0.0,0,0.0388,124.992,38.0,0.672
539,66hayvUbTotekKU3H4ta1f,0.041,82.0,74.0,2015-02-24,0.432,250286.0,0.781,4.21e-06,4.0,0.0789,-4.038,0.0,0,0.0567,139.432,77.0,0.191
49,66qlqxhEMpSHOzjRK4il0b,0.0232,94.0,98.0,2017-01-06,0.461,261154.0,0.834,1.14e-05,2.0,0.14,-4.868,1.0,0,0.0989,135.007,94.0,0.482
501,66ztPJrqqzwWTowxO90JZB,0.43,18.0,91.0,2016-02-12,0.692,212760.0,0.733,2.35e-06,2.0,0.351,-6.012,1.0,0,0.0313,109.989,2.0,0.411
292,67citk3uzWs5qbaIVKTeg8,0.226,74.0,75.0,2015-10-23,0.575,193333.0,0.844,0.0,3.0,0.0538,-1.772,0.0,0,0.0633,87.007,64.0,0.534
366,69guyOwpeKji5OY8wMdsDI,0.254,10.0,67.0,2015-11-06,0.515,197947.0,0.726,3.01e-06,9.0,0.106,-4.332,1.0,0,0.0361,76.981,9.0,0.659
235,69uxyAqqPIsUyTO8txoP2M,0.00205,87.0,91.0,2015-12-04,0.638,263787.0,0.924,0.000173,7.0,0.149,-3.887,1.0,1,0.0359,111.995,78.0,0.515
125,6AGON2BGdPmPMJGiiNuuwl,0.435,92.0,91.0,2016-12-09,0.713,201667.0,0.419,2.87e-06,11.0,0.126,-10.668,1.0,0,0.356,91.634,77.0,0.246
141,6ATgDc6e4sPn84hvJsAmPt,0.71,58.0,78.0,2016-12-09,0.401,175467.0,0.398,0.0,6.0,0.0962,-8.993,0.0,0,0.183,180.293,58.0,0.285
519,6AYwClZvzz3HTw4ghP4FgO,0.0159,53.0,66.0,2015-08-28,0.741,239453.0,0.54,0.0,6.0,0.173,-9.733,1.0,0,0.303,85.022,53.0,0.788
63,6AeQlMyRzvSl1nkFztZyKl,0.416,80.0,79.0,2017-01-13,0.704,176347.0,0.423,0.0,8.0,0.0607,-6.792,1.0,0,0.0862,113.962,80.0,0.45
481,6AoYWCzsDls6c61Zp5qTuU,0.114,80.0,72.0,2015-07-31,0.858,290836.0,0.697,0.0,2.0,0.224,-5.361,1.0,0,0.23,98.012,71.0,0.365
314,6BOtDFg6GJm0rPUDuNmx57,0.172,66.0,87.0,2016-04-22,0.647,224000.0,0.673,0.0,5.0,0.223,-5.992,1.0,0,0.176,179.971,66.0,0.521
442,6C4j3qW5h6GjvF5FbcoBvz,0.262,21.0,94.0,2016-04-04,0.481,251573.0,0.752,0.000417,6.0,0.138,-6.242,0.0,0,0.448,80.631,5.0,0.13
25,6DG2g1UhROp5pnM8fx7zH2,0.379,56.0,83.0,2016-07-15,0.695,181880.0,0.615,0.0,4.0,0.104,-4.194,1.0,0,0.104,99.817,53.0,0.509
288,6ELbS9xUlkOoAcWDonzc2L,0.00279,51.0,91.0,2016-04-13,0.725,173975.0,0.689,0.00548,2.0,0.384,-5.818,1.0,0,0.0676,157.944,39.0,0.248
505,6EdSZmWCQJfO8T66x9VCID,0.0138,52.0,68.0,2016-02-05,0.509,191213.0,0.891,0.0,2.0,0.063,-4.89,1.0,0,0.0757,128.108,52.0,0.643
470,6Eg5dHSwI9PZxs1RgJF0kt,0.398,18.0,76.0,2015-10-23,0.616,210073.0,0.743,0.000143,8.0,0.12,-7.515,1.0,0,0.0302,87.016,18.0,0.41
347,6EsLX3ZbZbAZUn3iaO5MuX,0.0608,56.0,84.0,2016-06-14,0.778,219067.0,0.696,0.00206,0.0,0.105,-6.639,0.0,0,0.0668,159.924,56.0,0.709
167,6FDqlXpko4R2CW2id2IK2T,0.228,48.0,44.0,2016-12-14,0.419,207853.0,0.555,0.0,2.0,0.113,-5.531,1.0,0,0.0275,101.667,34.0,0.368
485,6FWrlXo99QRmPtOeUSWDjv,0.231,75.0,68.0,2015-05-18,0.638,183947.0,0.733,0.0,4.0,0.103,-4.7,1.0,0,0.052,87.999,59.0,0.64
558,6GtMaEfcLyzwfglzSlqzyX,0.415,51.0,56.0,2015-12-16,0.216,190440.0,0.493,5.15e-05,6.0,0.147,-5.356,1.0,0,0.0287,100.921,27.0,0.34
107,6HEIBHUirx1J0JkUD24szt,0.66,79.0,71.0,2016-11-18,0.8,139674.0,0.297,0.000111,0.0,0.105,-13.1,0.0,0,0.407,140.051,79.0,0.209
46,6I6NX6tjGsxFAsIfGzY9lJ,0.361,92.0,91.0,2016-12-09,0.653,264747.0,0.409,0.00012,9.0,0.189,-11.446,1.0,0,0.421,174.324,82.0,0.181
21,6JV2JOEocMgcZxYSZelKcc,0.0123,84.0,86.0,2016-05-06,0.667,236002.0,0.83,0.0,0.0,0.191,-5.715,1.0,0,0.0749,113.03,84.0,0.716
269,6JyuJFedEvPmdWQW0PkbGJ,0.0019,75.0,84.0,2016-07-22,0.457,215510.0,0.899,0.0,10.0,0.831,-2.591,0.0,0,0.132,147.268,75.0,0.298
1139,6KI1ZpZWYAJLvmVhCJz65G,0.159,75.0,70.0,2016-07-01,0.332,201493.0,0.635,2.79e-06,7.0,0.0599,-5.653,1.0,1,0.0898,186.249,73.0,0.286
73,6Kd4EPrY9A4WBUFy5JaqEc,0.0417,78.0,92.0,2016-12-23,0.808,142920.0,0.534,0.0,2.0,0.136,-6.123,1.0,0,0.283,75.5,78.0,0.379
316,6Knv6wdA0luoMUuuoYi2i1,0.0215,82.0,84.0,2015-04-07,0.688,192191.0,0.702,0.0,7.0,0.128,-4.792,0.0,0,0.0499,94.006,78.0,0.731
341,6NLIinNi8IxKcCGHzrGCdW,0.223,4.0,86.0,2015-10-30,0.702,238480.0,0.687,0.0,5.0,0.107,-4.339,1.0,0,0.0557,119.816,4.0,0.579
7,6NMNgWgEAzde5M8U3lc6FN,0.182,88.0,100.0,2016-10-24,0.924,207813.0,0.543,0.0,9.0,0.103,-7.474,0.0,0,0.298,133.907,88.0,0.726
673,6NkRjdInQuM5qRgeYUDCZe,0.295,15.0,83.0,2015-01-07,0.245,252539.0,0.611,0.0,5.0,0.124,-6.676,0.0,0,0.051,189.194,15.0,0.292
584,6O8I0ffpEtyMQmMYo0bj4N,0.0122,91.0,95.0,2015-11-13,0.634,223333.0,0.885,0.0,11.0,0.193,-4.702,0.0,0,0.304,127.064,62.0,0.334
544,6OPoF9qiuV2dNfJ44w3X4M,0.0101,71.0,74.0,2015-04-03,0.496,189418.0,0.913,0.0,4.0,0.118,-3.286,1.0,1,0.0448,165.981,59.0,0.668
816,6OZPl7bOm8EOshsVmWH5W8,0.00172,77.0,83.0,2015-01-16,0.614,189387.0,0.877,2.95e-06,2.0,0.706,-3.601,1.0,0,0.0708,108.015,64.0,0.492
429,6OZh916QF8XNunWaP97WEZ,0.453,78.0,85.0,2015-12-04,0.459,212424.0,0.587,0.0,9.0,0.307,-6.983,1.0,0,0.0785,113.901,78.0,0.564
190,6PZXuNz6BVlL3rT5dwdFWm,0.0247,69.0,83.0,2016-07-13,0.655,235686.0,0.683,0.0,5.0,0.31,-6.259,0.0,0,0.047,120.984,69.0,0.404
439,6PmBnKrQuT4guboE9mNQIe,0.316,21.0,94.0,2016-04-04,0.673,236120.0,0.428,0.0,9.0,0.212,-7.12,0.0,0,0.0798,125.079,4.0,0.148
252,6QO46cJfmFvvCKUgauKOKS,0.126,21.0,94.0,2016-04-04,0.717,135920.0,0.563,0.0,7.0,0.515,-4.406,1.0,0,0.052,113.121,8.0,0.399
1147,6SLTPbDxDYR0uSMTT7gSb7,0.409,65.0,74.0,2016-09-16,0.724,209427.0,0.848,0.00028,11.0,0.111,-3.707,0.0,1,0.0346,104.005,56.0,0.687
94,6T4J1zg2NFjGHAjQCyxlG4,0.29,48.0,94.0,2016-01-28,0.491,206400.0,0.524,0.0,1.0,0.105,-5.796,0.0,0,0.0473,111.93,33.0,0.399
317,6T506SFlFUVVNvnmCiVZR0,0.0537,17.0,91.0,2016-03-11,0.662,235947.0,0.618,0.0,7.0,0.355,-5.26,1.0,0,0.0455,134.022,17.0,0.264
541,6TNN9i2o484cOTck3KUARi,0.0656,56.0,72.0,2015-03-06,0.619,206560.0,0.748,1.86e-05,7.0,0.241,-5.961,1.0,1,0.033,114.983,56.0,0.306
679,6TwhBJgvrPrdNe57lYVV55,0.00769,50.0,62.0,2015-02-17,0.557,181400.0,0.909,0.0,11.0,0.317,-3.405,1.0,0,0.0423,152.13,50.0,0.852
116,6U4VqEHy4n5VeiH4pQPL24,0.278,87.0,66.0,2016-11-18,0.782,163893.0,0.751,0.0,5.0,0.0367,-7.023,1.0,0,0.28,135.277,70.0,0.671
514,6VZCuvHwk3xmjwgKga0bNi,0.26,55.0,60.0,2015-01-27,0.625,201013.0,0.569,0.0,0.0,0.127,-5.954,1.0,0,0.0271,149.987,55.0,0.364
354,6VcAvPi9QbnUO42pQy6WVN,0.156,51.0,81.0,2015-11-06,0.895,240000.0,0.682,0.0,7.0,0.173,-5.268,0.0,0,0.356,121.925,51.0,0.549
349,6W9W8dSswA8KNegvl3W97V,0.000937,77.0,72.0,2015-11-13,0.616,218947.0,0.893,0.0,11.0,0.111,-3.588,1.0,0,0.0375,111.959,67.0,0.548
1141,6WLS56xiRrXjSm9RSdL3zD,0.00312,77.0,87.0,2015-09-10,0.583,213428.0,0.732,9.86e-06,11.0,0.269,-5.728,0.0,1,0.0457,145.992,77.0,0.292
194,6WhzFzROw3aq3rPWjgYlxr,0.615,68.0,74.0,2015-10-26,0.6,225882.0,0.412,0.0025,8.0,0.134,-9.343,1.0,0,0.344,113.049,68.0,0.409
59,6XOin64PR2Oj4W0tO8GOQv,0.455,25.0,75.0,2016-05-24,0.764,224000.0,0.262,0.0249,1.0,0.104,-17.074,0.0,0,0.446,80.047,25.0,0.325
295,6YJZMNLwxl7am5XZEr7eqY,0.789,62.0,84.0,2016-08-20,0.572,249191.0,0.385,0.000405,0.0,0.229,-9.581,1.0,0,0.0372,116.448,47.0,0.436
1195,6YL5zD4SggAZAQcdPv5r0C,0.069,74.0,84.0,2015-10-02,0.729,209160.0,0.653,6e-05,5.0,0.0823,-3.447,1.0,1,0.0307,110.045,64.0,0.412
291,6YZdkObH88npeKrrkb8Ggf,0.0786,81.0,83.0,2016-04-18,0.724,200813.0,0.904,0.0,8.0,0.226,-3.354,0.0,0,0.0966,90.999,81.0,0.851
721,6YhDHby2eVeENKJNa7C2z6,0.00557,56.0,74.0,2015-03-02,0.62,205067.0,0.828,0.000102,10.0,0.156,-4.685,1.0,0,0.0413,122.042,56.0,0.552
434,6aEgrTRLSRQ0FIrvOwcOE6,0.624,21.0,94.0,2016-04-04,0.591,320680.0,0.398,0.0,8.0,0.539,-8.731,1.0,0,0.431,105.956,6.0,0.35
302,6aFc0W6xVS9kN9E9NGekAl,0.109,56.0,80.0,2015-10-23,0.558,231813.0,0.785,0.0,7.0,0.485,-5.792,1.0,0,0.152,104.934,50.0,0.794
1131,6b3b7lILUJqXcp6w9wNQSm,0.0561,74.0,91.0,2016-02-11,0.592,224813.0,0.8,2.01e-06,6.0,0.0775,-4.931,0.0,1,0.215,89.972,74.0,0.736
546,6b8Be6ljOzmkOmFslEb23P,0.034,95.0,93.0,2016-11-17,0.818,225983.0,0.803,0.0,1.0,0.153,-4.282,1.0,1,0.0797,106.97,89.0,0.618
202,6bLopGnirdrilrpdVB6Um1,0.0174,91.0,91.0,2016-10-21,0.639,210920.0,0.785,0.00107,10.0,0.0512,-6.167,0.0,1,0.174,191.95,82.0,0.7
761,6br4Pc0BzU6dTD5fEmks2i,0.492,83.0,86.0,2015-05-26,0.897,255253.0,0.598,0.0014,2.0,0.0646,-7.164,1.0,0,0.0466,119.966,67.0,0.515
396,6eJBihAzTWRxvvjJWuRQXM,0.0714,79.0,77.0,2016-05-20,0.618,263800.0,0.731,5.05e-05,7.0,0.421,-5.181,1.0,0,0.0321,116.008,68.0,0.325
639,6ehmEaUo6TrZkyWOTtmFrr,0.197,21.0,80.0,2015-05-19,0.6,192906.0,0.857,0.0,1.0,0.313,-2.383,1.0,0,0.0449,172.061,21.0,0.804
573,6f1nXh4PrmOhgTzBui72L6,0.0478,91.0,95.0,2015-11-13,0.643,275040.0,0.499,0.0,2.0,0.108,-6.795,0.0,0,0.0308,133.978,62.0,0.364
8,6fujklziTHa8uoM5OQSfIo,0.13,90.0,88.0,2016-08-12,0.794,291893.0,0.646,0.0,0.0,0.14,-6.235,1.0,0,0.0614,145.931,85.0,0.331
48,6fwdbPMwP1zVStm8FybmkO,0.373,90.0,86.0,2016-07-15,0.835,258880.0,0.413,0.00133,1.0,0.101,-9.81,1.0,0,0.395,149.004,84.0,0.114
66,6gBFPUFcJLzWGx4lenP6h2,0.0847,91.0,88.0,2016-09-16,0.841,243837.0,0.728,0.0,7.0,0.149,-3.37,1.0,0,0.0484,130.049,81.0,0.43
1192,6gj08XDlv9Duc2fPOxUmVD,0.0506,81.0,82.0,2015-01-09,0.775,182667.0,0.825,1.03e-06,7.0,0.111,-5.402,1.0,1,0.0464,139.091,65.0,0.945
34,6hdkw1wzhIRYPlYDUtCY5m,0.572,85.0,87.0,2016-10-07,0.416,210307.0,0.773,0.0,8.0,0.105,-3.784,1.0,0,0.0949,122.65,85.0,0.714
22,6i0V12jOa3mr6uu4WYhUBr,0.0841,87.0,91.0,2016-06-16,0.732,195920.0,0.396,3.58e-05,4.0,0.105,-9.348,0.0,0,0.0286,90.024,87.0,0.547
300,6iaJUPHLONFJ02RTeaMuy8,0.0657,61.0,66.0,2016-07-25,0.44,237984.0,0.666,0.0,1.0,0.197,-4.82,0.0,0,0.193,82.922,61.0,0.548
435,6jMlxmzDVzsj3w7rEWgZDJ,0.0018,45.0,85.0,2015-09-29,0.575,178541.0,0.86,0.0,8.0,0.416,-4.539,1.0,0,0.0457,110.003,45.0,0.694
438,6kdJfvcllBFlaj7tHIkGuL,0.0726,0.0,35.0,2015-10-31,0.944,234627.0,0.493,0.0,0.0,0.331,-5.962,1.0,0,0.0575,108.651,0.0,0.214
272,6lJDiHzVKoUz6XfuPZfBrU,0.013,58.0,82.0,2016-07-12,0.897,227727.0,0.485,0.00193,8.0,0.133,-10.363,1.0,0,0.242,83.498,58.0,0.262
75,6mapJIPnQ23RTAevUoE0DL,0.215,90.0,88.0,2016-08-12,0.678,208120.0,0.317,4.31e-05,8.0,0.101,-9.427,1.0,0,0.0583,140.009,81.0,0.157
74,6mb6lVLNrcUgLnEN8QnDJd,0.603,87.0,74.0,2016-11-18,0.576,163387.0,0.319,0.0,4.0,0.173,-10.934,1.0,0,0.0518,83.632,72.0,0.114
303,6nwp8mY3CYoRev6h8ar1MJ,0.242,40.0,100.0,2016-04-04,0.785,209453.0,0.489,1.78e-05,4.0,0.104,-9.014,0.0,0,0.308,133.15,40.0,0.0542
403,6oeCLDX1ML2tPOPT1JuyaJ,0.0614,91.0,100.0,2016-05-13,0.457,311960.0,0.855,0.0,5.0,0.238,-5.873,1.0,0,0.342,77.237,55.0,0.0806
47,6p8NuHm8uCGnn2Dtbtf7zE,0.307,93.0,92.0,2017-01-27,0.92,304041.0,0.674,0.0,1.0,0.104,-5.662,0.0,0,0.264,141.967,76.0,0.737
184,6pDVjCUA3B1vg9waKutAsv,0.67,99.0,98.0,2016-11-25,0.664,197653.0,0.439,0.00027,4.0,0.119,-7.296,0.0,0,0.136,148.073,73.0,0.381
748,6q5vZHAzu2uSWu7qYKSse0,0.043,55.0,51.0,2015-03-03,0.949,221668.0,0.387,1.51e-06,6.0,0.0578,-8.798,1.0,0,0.352,125.047,55.0,0.571
384,6qGgrhiZ20Qrir3MNGUJq4,0.607,91.0,100.0,2016-05-13,0.654,333947.0,0.315,1.81e-06,0.0,0.117,-8.736,1.0,0,0.104,119.2,58.0,0.335
196,6r2jK1A6oFRPREZfxjc5d1,0.0196,55.0,81.0,2016-02-26,0.756,226520.0,0.7,1.02e-05,10.0,0.369,-5.922,0.0,0,0.347,145.14,55.0,0.331
452,6rEzoN8rsbdfyHXAPgpNJG,0.19,19.0,69.0,2015-09-11,0.494,218813.0,0.881,0.000226,9.0,0.0877,-4.644,1.0,0,0.271,187.879,19.0,0.473
344,6rKEs1WbHJIi88UpHRhFLD,0.0157,18.0,86.0,2016-04-08,0.576,223265.0,0.807,0.0,2.0,0.0338,-4.602,1.0,0,0.0454,158.002,18.0,0.769
493,6rqxivjFHp8K0yMiefG56g,0.0408,65.0,64.0,2015-03-10,0.553,335267.0,0.882,0.241,6.0,0.146,-5.515,1.0,0,0.0294,97.006,65.0,0.537
215,6s3GEN8wK0OMzzzZbXj0fu,0.00868,83.0,91.0,2016-03-25,0.565,212647.0,0.849,4.68e-06,0.0,0.12,-3.516,0.0,1,0.0517,102.034,83.0,0.43
220,6sBrsM5A2PWMPk2BusPTtV,0.0568,53.0,78.0,2016-06-20,0.492,215297.0,0.654,0.0,0.0,0.0964,-6.694,1.0,0,0.179,102.013,53.0,0.369
550,6tVRUc0W8vRK51a2BnGstJ,0.0324,55.0,87.0,2015-09-25,0.635,200253.0,0.721,0.0,10.0,0.222,-4.811,0.0,0,0.049,148.064,26.0,0.505
610,6ukMqDxnOPOgoHdak7Kyp3,0.417,73.0,85.0,2015-05-01,0.795,190453.0,0.616,0.0,1.0,0.349,-5.281,0.0,0,0.06,110.015,72.0,0.818
232,6vJ0Fezf6Etha2C4H21FKO,0.351,45.0,84.0,2016-08-04,0.667,197816.0,0.72,4.26e-06,9.0,0.138,-7.026,0.0,0,0.11,101.964,45.0,0.249
621,6voO8ZG9WTBG6ALLtzTZB5,0.0962,52.0,79.0,2015-09-04,0.724,173253.0,0.438,0.0,2.0,0.146,-6.774,1.0,0,0.0419,94.576,52.0,0.596
41,6wycnu8FWXsj68ig7BEot9,0.606,78.0,76.0,2016-05-06,0.686,230600.0,0.417,1.79e-06,7.0,0.0844,-7.787,1.0,0,0.0363,82.407,74.0,0.45
459,6xDvaUKHffDiy56v6UmrmI,0.222,2.0,78.0,2015-04-22,0.884,191368.0,0.826,2.29e-06,11.0,0.0651,-3.672,0.0,0,0.0854,94.997,2.0,0.474
767,6xSsJNkReuJzerqcIlBzBi,0.0808,56.0,73.0,2015-01-26,0.739,287851.0,0.616,0.0,8.0,0.0759,-7.246,1.0,0,0.0621,129.016,56.0,0.346
207,6y0igZArWVi6Iz0rj35c1Y,0.446,69.0,82.0,2016-01-16,0.54,234910.0,0.59,0.0,0.0,0.14,-4.359,1.0,1,0.0528,119.878,69.0,0.254
630,6y35xDJFzpy1FIa6qCMA59,0.319,58.0,57.0,2015-04-23,0.574,179078.0,0.745,0.0,2.0,0.11,-6.663,1.0,0,0.0507,154.042,58.0,0.695
2,6yIdwnpDHufLWgQcveTPMk,0.0546,88.0,89.0,2016-12-09,0.74,245200.0,0.46,1.35e-05,0.0,0.353,-8.363,1.0,0,0.0674,117.988,88.0,0.08
714,6ycYqFnXnjMOwMvEMbEpUk,0.218,84.0,91.0,2015-07-17,0.793,194240.0,0.607,4.95e-06,4.0,0.348,-6.488,0.0,0,0.0821,140.992,58.0,0.16
695,6ydpPcCGhQ4Ox3H0ly0WcX,0.679,56.0,80.0,2015-01-20,0.733,197854.0,0.408,3.92e-05,7.0,0.11,-7.834,0.0,0,0.0388,94.947,56.0,0.291
193,6zC8Ym9uvxbaVcp3Z9M3fL,0.134,21.0,94.0,2016-04-04,0.766,199613.0,0.579,1.24e-06,9.0,0.334,-6.864,0.0,0,0.0697,105.993,2.0,0.434
183,6zeGrGo9LKCSVl1xeKv1ar,0.0225,48.0,98.0,2016-09-30,0.514,231000.0,0.692,6.45e-05,8.0,0.139,-6.571,0.0,0,0.0726,173.955,48.0,0.217
964,6zy6JNfrc4ve2M6xmhadLV,0.0678,39.0,46.0,2015-08-28,0.585,209120.0,0.912,0.0,6.0,0.233,-3.305,1.0,1,0.0526,108.761,39.0,0.385
556,70OTIpw8x8UXUsuCHW9i1i,0.0997,66.0,86.0,2015-07-31,0.723,192107.0,0.711,0.0,0.0,0.0528,-5.576,0.0,0,0.0378,138.098,66.0,0.6
462,70eDxAyAraNTiD6lx2ZEnH,0.0183,74.0,73.0,2015-02-13,0.612,202173.0,0.921,0.0,7.0,0.0576,-2.879,1.0,0,0.0848,139.986,72.0,0.44
206,70uEe3Key95fjdHfcf5ELt,0.953,28.0,20.0,2016-01-05,0.524,223262.0,0.239,0.915,9.0,0.099,-18.228,1.0,0,0.0512,82.02,13.0,0.248
273,7129iqBafaphfc3WPCGC0L,0.313,64.0,79.0,2015-06-16,0.728,237300.0,0.489,0.0,10.0,0.386,-5.868,1.0,0,0.0611,119.816,55.0,0.335
259,71SDPonZOsIKNtqnaX8LXj,0.337,18.0,91.0,2016-02-12,0.722,313547.0,0.331,0.283,8.0,0.146,-7.789,1.0,0,0.0725,143.974,17.0,0.102
261,72i7uzzu8ImxvCxK6AX4bX,0.0389,12.0,11.0,2016-04-29,0.609,216712.0,0.719,0.0,9.0,0.133,-3.849,0.0,1,0.0657,128.027,10.0,0.394
698,73h73Cm8SZRyyoyEsnd9SP,0.000818,17.0,90.0,2015-06-30,0.505,226640.0,0.727,0.0,4.0,0.315,-7.112,0.0,0,0.0729,98.894,10.0,0.173
1150,73ttVGkr6lEjsnhW3SzBVA,0.00085,27.0,42.0,2016-06-03,0.955,197467.0,0.673,0.000474,0.0,0.286,-9.907,1.0,1,0.111,102.491,27.0,0.574
374,746PsZ5jTdqIJ6LgJAHcEZ,0.0261,59.0,58.0,2015-11-20,0.706,204027.0,0.568,0.0,4.0,0.3,-5.737,1.0,0,0.201,64.049,59.0,0.243
626,75UZ6xdsai2UYl0ayRra9C,0.59,13.0,56.0,2015-06-02,0.513,217306.0,0.681,0.0,5.0,0.178,-3.998,1.0,0,0.0311,156.067,13.0,0.224
629,75rDNLl8v6qVYHXGzfHv4c,0.746,10.0,86.0,2015-01-22,0.663,240027.0,0.638,0.0,1.0,0.103,-4.505,1.0,0,0.244,128.804,10.0,0.52
71,76Y0gxtTxN0FyDCYh5qYQj,0.0646,93.0,92.0,2017-01-27,0.95,257546.0,0.743,1.19e-05,10.0,0.103,-5.861,0.0,0,0.238,136.98,76.0,0.63
233,76hfruVvmfQbw0eYn1nmeC,0.156,80.0,80.0,2016-11-18,0.774,219147.0,0.765,0.0,4.0,0.0373,-5.439,0.0,1,0.0502,119.001,74.0,0.91
619,76v0OHTbZGeOZYmaLtEDhQ,0.281,77.0,88.0,2015-01-06,0.728,206307.0,0.694,0.0,0.0,0.118,-5.07,0.0,0,0.161,143.078,66.0,0.745
158,77IAeEz8LEchPN8UNjaTJ2,0.218,92.0,91.0,2016-12-09,0.713,316920.0,0.496,0.000237,7.0,0.0761,-10.045,0.0,0,0.311,162.039,72.0,0.607
838,77hlBnevpj8cbiH7sc0Iro,0.359,75.0,93.0,2015-03-16,0.509,287360.0,0.787,2.76e-05,7.0,0.26,-6.754,1.0,0,0.265,114.449,52.0,0.521
760,78TTtXnFQPzwqlbtbwqN0y,0.878,68.0,94.0,2015-01-24,0.576,188238.0,0.267,0.0,2.0,0.119,-5.668,1.0,0,0.044,205.888,68.0,0.318
1211,797CpoPvCoS5pV5zqUKQ5S,0.687,51.0,45.0,2015-08-07,0.578,178787.0,0.51,4e-06,5.0,0.353,-5.919,1.0,1,0.0306,122.014,40.0,0.371
515,79dlQxvdsCDApoM8XChkpy,0.0494,77.0,77.0,2015-11-11,0.384,319240.0,0.802,0.0,7.0,0.326,-6.602,1.0,0,0.0429,129.405,63.0,0.568
4,7BKLCZ1jbUBVqRi2FVlTVw,0.414,94.0,95.0,2016-07-29,0.748,244960.0,0.524,0.0,8.0,0.111,-5.599,1.0,0,0.0338,95.01,94.0,0.635
29,7BPw9h8vCIX94N0rjFU12S,0.0472,79.0,91.0,2016-02-18,0.628,211667.0,0.698,0.00143,6.0,0.0907,-5.608,0.0,0,0.105,89.976,69.0,0.73
