,track_id,acousticness,album_popularity,artist_popularity,album_release_date,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,now,speechiness,tempo,track_popularity,valence
155,4mU5iXHeLgbR94siF7p1sY,0.102,99.0,98.0,2016-11-25,0.768,237573.0,0.485,0.0,6.0,0.128,-8.435,0.0,0,0.0825,140.016,79.0,0.276
199,4nA0biSjtvOL41Hd9MBXqR,0.00778,81.0,87.0,2016-09-02,0.576,224031.0,0.782,0.0,6.0,0.285,-4.825,0.0,0,0.0296,141.153,81.0,0.353
89,4nMlau89VAjmV7agkl7OY3,0.562,73.0,77.0,2016-01-01,0.822,198001.0,0.544,2.4e-05,0.0,0.144,-6.797,1.0,0,0.0332,122.047,73.0,0.865
226,4nS1sut0R2mgmFitKIShVe,0.279,75.0,83.0,2015-11-13,0.697,213445.0,0.687,5.11e-06,2.0,0.0861,-6.574,0.0,1,0.0537,154.921,66.0,0.733
319,4o1zYFH5QWKu3E4MiC6lgE,0.106,77.0,79.0,2016-08-05,0.413,281980.0,0.928,0.0,9.0,0.331,-3.671,1.0,0,0.321,83.203,58.0,0.461
575,4oHmgneU9dwYoqg0SJSOCf,0.0788,62.0,61.0,2015-12-01,0.762,230635.0,0.87,0.0,6.0,0.137,-3.287,0.0,0,0.128,132.049,60.0,0.753
91,4oLuMvGQ4WJfU2s4OM6nfE,0.0379,93.0,92.0,2017-01-27,0.825,153558.0,0.7,0.0,11.0,0.139,-5.098,0.0,0,0.243,132.996,72.0,0.339
597,4oWmroatZtMmlgc3havMrv,0.747,65.0,84.0,2015-09-25,0.372,278987.0,0.305,1.9e-06,5.0,0.0908,-8.189,0.0,0,0.0289,86.743,65.0,0.0871
248,4plhHbrWLbmIDCLiqesqdq,0.0339,39.0,56.0,2016-01-29,0.565,214547.0,0.787,1.02e-06,2.0,0.0915,-4.081,1.0,0,0.0381,156.019,39.0,0.541
735,4rkUEE5iTzG0szS8k8QzqR,0.362,61.0,77.0,2015-04-23,0.477,208666.0,0.631,4.8e-06,5.0,0.11,-7.115,1.0,0,0.0505,147.708,61.0,0.433
693,4rra3z09djKcOviLkHWN6l,0.371,2.0,81.0,2015-08-07,0.735,278507.0,0.749,0.0,10.0,0.47,-3.766,0.0,0,0.0874,93.718,2.0,0.375
559,4rujbg8RNFitwtkv1qEq4K,0.00854,65.0,100.0,2015-07-31,0.893,170638.0,0.48,0.0,1.0,0.116,-3.728,0.0,0,0.356,86.976,65.0,0.373
87,4sDSkmacergclAYN5zCnMj,0.0665,75.0,67.0,2016-06-03,0.485,211767.0,0.834,0.0,9.0,0.28,-5.413,1.0,0,0.0715,90.933,69.0,0.658
1133,4tCtwWceOPWzenK2HAIJSb,0.103,89.0,84.0,2016-05-27,0.803,214480.0,0.585,3.94e-06,8.0,0.0644,-5.861,1.0,1,0.0432,105.017,83.0,0.588
